,To,From,Value,Year,Type
480,Idaho,California,2415.0,2010,MOE
481,Illinois,California,3236.0,2010,MOE
482,Indiana,California,2863.0,2010,MOE
483,Iowa,California,1227.0,2010,MOE
484,Kansas,California,1459.0,2010,MOE
485,Kentucky,California,1387.0,2010,MOE
486,Louisiana,California,1933.0,2010,MOE
487,Maine,California,740.0,2010,MOE
488,Maryland,California,2230.0,2010,MOE
489,Massachusetts,California,3388.0,2010,MOE
490,Michigan,California,2018.0,2010,MOE
491,Minnesota,California,1680.0,2010,MOE
492,Mississippi,California,1221.0,2010,MOE
493,Missouri,California,2218.0,2010,MOE
494,Montana,California,1903.0,2010,MOE
495,Nebraska,California,1419.0,2010,MOE
496,Nevada,California,5381.0,2010,MOE
497,New Hampshire,California,969.0,2010,MOE
498,New Jersey,California,2628.0,2010,MOE
499,New Mexico,California,2252.0,2010,MOE
500,New York,California,4560.0,2010,MOE
501,North Carolina,California,3085.0,2010,MOE
502,North Dakota,California,873.0,2010,MOE
503,Ohio,California,1767.0,2010,MOE
504,Oklahoma,California,2426.0,2010,MOE
505,Oregon,California,4899.0,2010,MOE
506,Pennsylvania,California,2875.0,2010,MOE
507,Rhode Island,California,791.0,2010,MOE
508,South Carolina,California,1983.0,2010,MOE
509,South Dakota,California,703.0,2010,MOE
510,Tennessee,California,2431.0,2010,MOE
511,Texas,California,7058.0,2010,MOE
512,Utah,California,2104.0,2010,MOE
513,Vermont,California,506.0,2010,MOE
514,Virginia,California,3674.0,2010,MOE
515,Washington,California,5451.0,2010,MOE
516,West Virginia,California,511.0,2010,MOE
517,Wisconsin,California,1080.0,2010,MOE
518,Wyoming,California,1647.0,2010,MOE
519,Puerto Rico,California,949.0,2010,MOE
520,Alabama,Colorado,1278.0,2010,Estimate
521,Alaska,Colorado,1930.0,2010,Estimate
522,Arizona,Colorado,7687.0,2010,Estimate
523,Arkansas,Colorado,2535.0,2010,Estimate
524,California,Colorado,15662.0,2010,Estimate
525,Colorado,Colorado,,2010,Estimate
526,Connecticut,Colorado,547.0,2010,Estimate
527,Delaware,Colorado,178.0,2010,Estimate
528,District of Columbia ,Colorado,656.0,2010,Estimate
529,Florida,Colorado,6428.0,2010,Estimate
530,Georgia,Colorado,3224.0,2010,Estimate
531,Hawaii,Colorado,1073.0,2010,Estimate
532,Idaho,Colorado,1372.0,2010,Estimate
533,Illinois,Colorado,3850.0,2010,Estimate
534,Indiana,Colorado,1362.0,2010,Estimate
535,Iowa,Colorado,2554.0,2010,Estimate
536,Kansas,Colorado,6022.0,2010,Estimate
537,Kentucky,Colorado,329.0,2010,Estimate
538,Louisiana,Colorado,1215.0,2010,Estimate
539,Maine,Colorado,478.0,2010,Estimate
540,Maryland,Colorado,2501.0,2010,Estimate
541,Massachusetts,Colorado,1051.0,2010,Estimate
542,Michigan,Colorado,2031.0,2010,Estimate
543,Minnesota,Colorado,2521.0,2010,Estimate
544,Mississippi,Colorado,1167.0,2010,Estimate
545,Missouri,Colorado,1903.0,2010,Estimate
546,Montana,Colorado,2185.0,2010,Estimate
547,Nebraska,Colorado,4182.0,2010,Estimate
548,Nevada,Colorado,2935.0,2010,Estimate
549,New Hampshire,Colorado,240.0,2010,Estimate
550,New Jersey,Colorado,807.0,2010,Estimate
551,New Mexico,Colorado,2852.0,2010,Estimate
552,New York,Colorado,3135.0,2010,Estimate
553,North Carolina,Colorado,1842.0,2010,Estimate
554,North Dakota,Colorado,873.0,2010,Estimate
555,Ohio,Colorado,2859.0,2010,Estimate
556,Oklahoma,Colorado,3184.0,2010,Estimate
557,Oregon,Colorado,2050.0,2010,Estimate
558,Pennsylvania,Colorado,3657.0,2010,Estimate
559,Rhode Island,Colorado,59.0,2010,Estimate
560,South Carolina,Colorado,1867.0,2010,Estimate
561,South Dakota,Colorado,807.0,2010,Estimate
562,Tennessee,Colorado,1858.0,2010,Estimate
563,Texas,Colorado,16361.0,2010,Estimate
564,Utah,Colorado,3987.0,2010,Estimate
565,Vermont,Colorado,326.0,2010,Estimate
566,Virginia,Colorado,3229.0,2010,Estimate
567,Washington,Colorado,4883.0,2010,Estimate
